Loading model file ../models-mnt/open-llama/3B-v2/pytorch_model.bin
Loading vocab file ../models-mnt/open-llama/3B-v2/tokenizer.model
params: n_vocab:32000 n_embd:3200 n_mult:240 n_head:32 n_layer:26
Writing vocab...
[  1/237] Writing tensor tok_embeddings.weight                  | size  32000 x   3200  | type UnquantizedDataType(name='F16')
[  2/237] Writing tensor norm.weight                            | size   3200           | type UnquantizedDataType(name='F32')
[  3/237] Writing tensor output.weight                          | size  32000 x   3200  | type UnquantizedDataType(name='F16')
[  4/237] Writing tensor layers.0.attention.wq.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[  5/237] Writing tensor layers.0.attention.wk.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[  6/237] Writing tensor layers.0.attention.wv.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[  7/237] Writing tensor layers.0.attention.wo.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[  8/237] Writing tensor layers.0.attention_norm.weight         | size   3200           | type UnquantizedDataType(name='F32')
[  9/237] Writing tensor layers.0.feed_forward.w1.weight        | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[ 10/237] Writing tensor layers.0.feed_forward.w2.weight        | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[ 11/237] Writing tensor layers.0.feed_forward.w3.weight        | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[ 12/237] Writing tensor layers.0.ffn_norm.weight               | size   3200           | type UnquantizedDataType(name='F32')
[ 13/237] Writing tensor layers.1.attention.wq.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 14/237] Writing tensor layers.1.attention.wk.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 15/237] Writing tensor layers.1.attention.wv.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 16/237] Writing tensor layers.1.attention.wo.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 17/237] Writing tensor layers.1.attention_norm.weight         | size   3200           | type UnquantizedDataType(name='F32')
[ 18/237] Writing tensor layers.1.feed_forward.w1.weight        | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[ 19/237] Writing tensor layers.1.feed_forward.w2.weight        | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[ 20/237] Writing tensor layers.1.feed_forward.w3.weight        | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[ 21/237] Writing tensor layers.1.ffn_norm.weight               | size   3200           | type UnquantizedDataType(name='F32')
[ 22/237] Writing tensor layers.2.attention.wq.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 23/237] Writing tensor layers.2.attention.wk.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 24/237] Writing tensor layers.2.attention.wv.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 25/237] Writing tensor layers.2.attention.wo.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 26/237] Writing tensor layers.2.attention_norm.weight         | size   3200           | type UnquantizedDataType(name='F32')
[ 27/237] Writing tensor layers.2.feed_forward.w1.weight        | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[ 28/237] Writing tensor layers.2.feed_forward.w2.weight        | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[ 29/237] Writing tensor layers.2.feed_forward.w3.weight        | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[ 30/237] Writing tensor layers.2.ffn_norm.weight               | size   3200           | type UnquantizedDataType(name='F32')
[ 31/237] Writing tensor layers.3.attention.wq.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 32/237] Writing tensor layers.3.attention.wk.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 33/237] Writing tensor layers.3.attention.wv.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 34/237] Writing tensor layers.3.attention.wo.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 35/237] Writing tensor layers.3.attention_norm.weight         | size   3200           | type UnquantizedDataType(name='F32')
[ 36/237] Writing tensor layers.3.feed_forward.w1.weight        | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[ 37/237] Writing tensor layers.3.feed_forward.w2.weight        | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[ 38/237] Writing tensor layers.3.feed_forward.w3.weight        | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[ 39/237] Writing tensor layers.3.ffn_norm.weight               | size   3200           | type UnquantizedDataType(name='F32')
[ 40/237] Writing tensor layers.4.attention.wq.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 41/237] Writing tensor layers.4.attention.wk.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 42/237] Writing tensor layers.4.attention.wv.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 43/237] Writing tensor layers.4.attention.wo.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 44/237] Writing tensor layers.4.attention_norm.weight         | size   3200           | type UnquantizedDataType(name='F32')
[ 45/237] Writing tensor layers.4.feed_forward.w1.weight        | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[ 46/237] Writing tensor layers.4.feed_forward.w2.weight        | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[ 47/237] Writing tensor layers.4.feed_forward.w3.weight        | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[ 48/237] Writing tensor layers.4.ffn_norm.weight               | size   3200           | type UnquantizedDataType(name='F32')
[ 49/237] Writing tensor layers.5.attention.wq.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 50/237] Writing tensor layers.5.attention.wk.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 51/237] Writing tensor layers.5.attention.wv.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 52/237] Writing tensor layers.5.attention.wo.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 53/237] Writing tensor layers.5.attention_norm.weight         | size   3200           | type UnquantizedDataType(name='F32')
[ 54/237] Writing tensor layers.5.feed_forward.w1.weight        | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[ 55/237] Writing tensor layers.5.feed_forward.w2.weight        | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[ 56/237] Writing tensor layers.5.feed_forward.w3.weight        | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[ 57/237] Writing tensor layers.5.ffn_norm.weight               | size   3200           | type UnquantizedDataType(name='F32')
[ 58/237] Writing tensor layers.6.attention.wq.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 59/237] Writing tensor layers.6.attention.wk.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 60/237] Writing tensor layers.6.attention.wv.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 61/237] Writing tensor layers.6.attention.wo.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 62/237] Writing tensor layers.6.attention_norm.weight         | size   3200           | type UnquantizedDataType(name='F32')
[ 63/237] Writing tensor layers.6.feed_forward.w1.weight        | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[ 64/237] Writing tensor layers.6.feed_forward.w2.weight        | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[ 65/237] Writing tensor layers.6.feed_forward.w3.weight        | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[ 66/237] Writing tensor layers.6.ffn_norm.weight               | size   3200           | type UnquantizedDataType(name='F32')
[ 67/237] Writing tensor layers.7.attention.wq.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 68/237] Writing tensor layers.7.attention.wk.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 69/237] Writing tensor layers.7.attention.wv.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 70/237] Writing tensor layers.7.attention.wo.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 71/237] Writing tensor layers.7.attention_norm.weight         | size   3200           | type UnquantizedDataType(name='F32')
[ 72/237] Writing tensor layers.7.feed_forward.w1.weight        | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[ 73/237] Writing tensor layers.7.feed_forward.w2.weight        | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[ 74/237] Writing tensor layers.7.feed_forward.w3.weight        | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[ 75/237] Writing tensor layers.7.ffn_norm.weight               | size   3200           | type UnquantizedDataType(name='F32')
[ 76/237] Writing tensor layers.8.attention.wq.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 77/237] Writing tensor layers.8.attention.wk.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 78/237] Writing tensor layers.8.attention.wv.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 79/237] Writing tensor layers.8.attention.wo.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 80/237] Writing tensor layers.8.attention_norm.weight         | size   3200           | type UnquantizedDataType(name='F32')
[ 81/237] Writing tensor layers.8.feed_forward.w1.weight        | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[ 82/237] Writing tensor layers.8.feed_forward.w2.weight        | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[ 83/237] Writing tensor layers.8.feed_forward.w3.weight        | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[ 84/237] Writing tensor layers.8.ffn_norm.weight               | size   3200           | type UnquantizedDataType(name='F32')
[ 85/237] Writing tensor layers.9.attention.wq.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 86/237] Writing tensor layers.9.attention.wk.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 87/237] Writing tensor layers.9.attention.wv.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 88/237] Writing tensor layers.9.attention.wo.weight           | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 89/237] Writing tensor layers.9.attention_norm.weight         | size   3200           | type UnquantizedDataType(name='F32')
[ 90/237] Writing tensor layers.9.feed_forward.w1.weight        | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[ 91/237] Writing tensor layers.9.feed_forward.w2.weight        | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[ 92/237] Writing tensor layers.9.feed_forward.w3.weight        | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[ 93/237] Writing tensor layers.9.ffn_norm.weight               | size   3200           | type UnquantizedDataType(name='F32')
[ 94/237] Writing tensor layers.10.attention.wq.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 95/237] Writing tensor layers.10.attention.wk.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 96/237] Writing tensor layers.10.attention.wv.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 97/237] Writing tensor layers.10.attention.wo.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[ 98/237] Writing tensor layers.10.attention_norm.weight        | size   3200           | type UnquantizedDataType(name='F32')
[ 99/237] Writing tensor layers.10.feed_forward.w1.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[100/237] Writing tensor layers.10.feed_forward.w2.weight       | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[101/237] Writing tensor layers.10.feed_forward.w3.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[102/237] Writing tensor layers.10.ffn_norm.weight              | size   3200           | type UnquantizedDataType(name='F32')
[103/237] Writing tensor layers.11.attention.wq.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[104/237] Writing tensor layers.11.attention.wk.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[105/237] Writing tensor layers.11.attention.wv.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[106/237] Writing tensor layers.11.attention.wo.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[107/237] Writing tensor layers.11.attention_norm.weight        | size   3200           | type UnquantizedDataType(name='F32')
[108/237] Writing tensor layers.11.feed_forward.w1.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[109/237] Writing tensor layers.11.feed_forward.w2.weight       | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[110/237] Writing tensor layers.11.feed_forward.w3.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[111/237] Writing tensor layers.11.ffn_norm.weight              | size   3200           | type UnquantizedDataType(name='F32')
[112/237] Writing tensor layers.12.attention.wq.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[113/237] Writing tensor layers.12.attention.wk.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[114/237] Writing tensor layers.12.attention.wv.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[115/237] Writing tensor layers.12.attention.wo.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[116/237] Writing tensor layers.12.attention_norm.weight        | size   3200           | type UnquantizedDataType(name='F32')
[117/237] Writing tensor layers.12.feed_forward.w1.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[118/237] Writing tensor layers.12.feed_forward.w2.weight       | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[119/237] Writing tensor layers.12.feed_forward.w3.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[120/237] Writing tensor layers.12.ffn_norm.weight              | size   3200           | type UnquantizedDataType(name='F32')
[121/237] Writing tensor layers.13.attention.wq.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[122/237] Writing tensor layers.13.attention.wk.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[123/237] Writing tensor layers.13.attention.wv.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[124/237] Writing tensor layers.13.attention.wo.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[125/237] Writing tensor layers.13.attention_norm.weight        | size   3200           | type UnquantizedDataType(name='F32')
[126/237] Writing tensor layers.13.feed_forward.w1.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[127/237] Writing tensor layers.13.feed_forward.w2.weight       | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[128/237] Writing tensor layers.13.feed_forward.w3.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[129/237] Writing tensor layers.13.ffn_norm.weight              | size   3200           | type UnquantizedDataType(name='F32')
[130/237] Writing tensor layers.14.attention.wq.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[131/237] Writing tensor layers.14.attention.wk.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[132/237] Writing tensor layers.14.attention.wv.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[133/237] Writing tensor layers.14.attention.wo.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[134/237] Writing tensor layers.14.attention_norm.weight        | size   3200           | type UnquantizedDataType(name='F32')
[135/237] Writing tensor layers.14.feed_forward.w1.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[136/237] Writing tensor layers.14.feed_forward.w2.weight       | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[137/237] Writing tensor layers.14.feed_forward.w3.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[138/237] Writing tensor layers.14.ffn_norm.weight              | size   3200           | type UnquantizedDataType(name='F32')
[139/237] Writing tensor layers.15.attention.wq.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[140/237] Writing tensor layers.15.attention.wk.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[141/237] Writing tensor layers.15.attention.wv.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[142/237] Writing tensor layers.15.attention.wo.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[143/237] Writing tensor layers.15.attention_norm.weight        | size   3200           | type UnquantizedDataType(name='F32')
[144/237] Writing tensor layers.15.feed_forward.w1.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[145/237] Writing tensor layers.15.feed_forward.w2.weight       | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[146/237] Writing tensor layers.15.feed_forward.w3.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[147/237] Writing tensor layers.15.ffn_norm.weight              | size   3200           | type UnquantizedDataType(name='F32')
[148/237] Writing tensor layers.16.attention.wq.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[149/237] Writing tensor layers.16.attention.wk.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[150/237] Writing tensor layers.16.attention.wv.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[151/237] Writing tensor layers.16.attention.wo.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[152/237] Writing tensor layers.16.attention_norm.weight        | size   3200           | type UnquantizedDataType(name='F32')
[153/237] Writing tensor layers.16.feed_forward.w1.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[154/237] Writing tensor layers.16.feed_forward.w2.weight       | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[155/237] Writing tensor layers.16.feed_forward.w3.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[156/237] Writing tensor layers.16.ffn_norm.weight              | size   3200           | type UnquantizedDataType(name='F32')
[157/237] Writing tensor layers.17.attention.wq.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[158/237] Writing tensor layers.17.attention.wk.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[159/237] Writing tensor layers.17.attention.wv.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[160/237] Writing tensor layers.17.attention.wo.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[161/237] Writing tensor layers.17.attention_norm.weight        | size   3200           | type UnquantizedDataType(name='F32')
[162/237] Writing tensor layers.17.feed_forward.w1.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[163/237] Writing tensor layers.17.feed_forward.w2.weight       | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[164/237] Writing tensor layers.17.feed_forward.w3.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[165/237] Writing tensor layers.17.ffn_norm.weight              | size   3200           | type UnquantizedDataType(name='F32')
[166/237] Writing tensor layers.18.attention.wq.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[167/237] Writing tensor layers.18.attention.wk.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[168/237] Writing tensor layers.18.attention.wv.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[169/237] Writing tensor layers.18.attention.wo.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[170/237] Writing tensor layers.18.attention_norm.weight        | size   3200           | type UnquantizedDataType(name='F32')
[171/237] Writing tensor layers.18.feed_forward.w1.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[172/237] Writing tensor layers.18.feed_forward.w2.weight       | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[173/237] Writing tensor layers.18.feed_forward.w3.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[174/237] Writing tensor layers.18.ffn_norm.weight              | size   3200           | type UnquantizedDataType(name='F32')
[175/237] Writing tensor layers.19.attention.wq.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[176/237] Writing tensor layers.19.attention.wk.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[177/237] Writing tensor layers.19.attention.wv.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[178/237] Writing tensor layers.19.attention.wo.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[179/237] Writing tensor layers.19.attention_norm.weight        | size   3200           | type UnquantizedDataType(name='F32')
[180/237] Writing tensor layers.19.feed_forward.w1.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[181/237] Writing tensor layers.19.feed_forward.w2.weight       | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[182/237] Writing tensor layers.19.feed_forward.w3.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[183/237] Writing tensor layers.19.ffn_norm.weight              | size   3200           | type UnquantizedDataType(name='F32')
[184/237] Writing tensor layers.20.attention.wq.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
