|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   33.89 |    1.31 |    0.38 |    0.03 | 05ce747 |
|             NEON |          tiny |   4 |   0 |   34.61 |    1.32 |    0.38 |    0.03 | 05ce747 |
|             NEON |       base.en |   4 |   0 |   69.35 |    2.15 |    0.49 |    0.06 | 05ce747 |
|             NEON |          base |   4 |   0 |   69.46 |    2.13 |    0.47 |    0.06 | 05ce747 |
|             NEON |      small.en |   4 |   0 |  226.92 |    5.55 |    1.19 |    0.18 | 05ce747 |
|             NEON |         small |   4 |   0 |  226.67 |    5.50 |    1.20 |    0.18 | 05ce747 |
|             NEON |     medium.en |   4 |   0 |  677.12 |   14.32 |    3.04 |    0.49 | 05ce747 |
|             NEON |        medium |   4 |   0 |  675.64 |   14.27 |    3.06 |    0.49 | 05ce747 |
|             NEON |      large-v1 |   4 |   0 | 1266.29 |   24.73 |    5.19 |    0.89 | 05ce747 |
|             NEON |      large-v2 |   4 |   0 | 1268.56 |   24.76 |    5.24 |    0.89 | 05ce747 |
|             NEON |      large-v3 |   4 |   0 | 1266.78 |   24.81 |    5.26 |    0.89 | 05ce747 |
|             NEON | large-v3-turbo |   4 |   0 | 1160.23 |    4.49 |    0.95 |    0.15 | 05ce747 |
