|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  561.09 |    1.90 |    0.95 |    0.76 | 05ce747 |
|             AVX2 |          tiny |   4 |   0 |  562.05 |    1.88 |    0.98 |    0.77 | 05ce747 |
|             AVX2 |       base.en |   4 |   0 | 1240.13 |    3.66 |    1.74 |    1.36 | 05ce747 |
|             AVX2 |          base |   4 |   0 | 1254.26 |    3.66 |    1.76 |    1.36 | 05ce747 |
|             AVX2 |      small.en |   4 |   0 | 4341.73 |   10.34 |    4.87 |    3.82 | 05ce747 |
|             AVX2 |         small |   4 |   0 | 4356.77 |   10.36 |    4.88 |    3.83 | 05ce747 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.41 |   13.74 |   10.65 | 05ce747 |
|             AVX2 |        medium |   4 |   0 |      ms |   29.28 |   13.78 |   10.66 | 05ce747 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   53.84 |   25.12 |   19.62 | 05ce747 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   53.77 |   25.13 |   19.55 | 05ce747 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.63 |   25.32 |   19.53 | 05ce747 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.54 |    4.36 |    3.47 | 05ce747 |
