|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |  544.67 |    1.99 |    1.02 |    0.79 | 05ce7476 |
|             NEON |          tiny |   4 |   0 |  544.11 |    2.01 |    1.02 |    0.79 | 05ce7476 |
|             NEON |       base.en |   4 |   0 | 1228.24 |    4.25 |    1.91 |    1.38 | 05ce7476 |
|             NEON |          base |   4 |   0 | 1231.99 |    4.24 |    1.90 |    1.38 | 05ce7476 |
|             NEON |      small.en |   4 |   0 | 4364.88 |   11.98 |    5.40 |    3.77 | 05ce7476 |
|             NEON |         small |   4 |   0 | 4361.10 |   12.07 |    5.45 |    3.78 | 05ce7476 |
|             NEON |     medium.en |   4 |   0 |      ms |   33.29 |   14.42 |   10.59 | 05ce7476 |
|             NEON |        medium |   4 |   0 |      ms |   33.39 |   14.47 |   10.59 | 05ce7476 |
|             NEON |      large-v1 |   4 |   0 |      ms |   60.16 |   26.28 |   19.36 | 05ce7476 |
|             NEON |      large-v2 |   4 |   0 |      ms |   60.60 |   26.35 |   19.40 | 05ce7476 |
|             NEON |      large-v3 |   4 |   0 |      ms |   59.66 |   26.01 |   19.36 | 05ce7476 |
|             NEON | large-v3-turbo |   4 |   0 |      ms |    9.96 |    4.52 |    3.41 | 05ce7476 |
