|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.25 |    1.05 |    0.30 |    0.01 | 05ce7476 |
|             AVX2 |          tiny |   4 |   0 |    5.84 |    0.99 |    0.29 |    0.01 | 05ce7476 |
|             AVX2 |       base.en |   4 |   0 |   10.63 |    1.42 |    0.41 |    0.02 | 05ce7476 |
|             AVX2 |          base |   4 |   0 |   10.59 |    1.41 |    0.43 |    0.02 | 05ce7476 |
|             AVX2 |      small.en |   4 |   0 |   30.03 |    2.80 |    0.85 |    0.04 | 05ce7476 |
|             AVX2 |         small |   4 |   0 |   30.03 |    2.74 |    0.85 |    0.04 | 05ce7476 |
|             AVX2 |     medium.en |   4 |   0 |   82.22 |    5.89 |    1.77 |    0.09 | 05ce7476 |
|             AVX2 |        medium |   4 |   0 |   81.44 |    5.95 |    1.79 |    0.09 | 05ce7476 |
|             AVX2 |      large-v1 |   4 |   0 |  134.78 |    8.58 |    2.71 |    0.14 | 05ce7476 |
|             AVX2 |      large-v2 |   4 |   0 |  134.76 |    8.66 |    2.71 |    0.14 | 05ce7476 |
|             AVX2 |      large-v3 |   4 |   0 |  134.88 |    8.54 |    2.65 |    0.14 | 05ce7476 |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.51 |    1.38 |    0.44 |    0.02 | 05ce7476 |
