|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  439.54 |    1.45 |    0.77 |    0.60 | 05ce747 |
|             AVX2 |          tiny |   4 |   0 |  440.81 |    1.28 |    0.74 |    0.60 | 05ce747 |
|             AVX2 |       base.en |   4 |   0 |  963.43 |    3.02 |    1.45 |    1.05 | 05ce747 |
|             AVX2 |          base |   4 |   0 |  969.75 |    3.01 |    1.42 |    1.06 | 05ce747 |
|             AVX2 |      small.en |   4 |   0 | 3411.77 |   10.90 |    4.48 |    3.00 | 05ce747 |
|             AVX2 |         small |   4 |   0 | 3417.34 |   10.92 |    4.49 |    2.99 | 05ce747 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.17 |   12.88 |    8.36 | 05ce747 |
|             AVX2 |        medium |   4 |   0 |      ms |   32.23 |   12.89 |    8.35 | 05ce747 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.06 |   24.35 |   15.40 | 05ce747 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   60.91 |   24.35 |   15.40 | 05ce747 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   60.97 |   24.29 |   15.40 | 05ce747 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.13 |    4.12 |    2.74 | 05ce747 |
