|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   34.54 |    1.38 |    0.39 |    0.03 | 1f4886b |
|             NEON |          tiny |   4 |   0 |   34.55 |    1.38 |    0.39 |    0.03 | 1f4886b |
|             NEON |       base.en |   4 |   0 |   70.71 |    2.17 |    0.48 |    0.06 | 1f4886b |
|             NEON |          base |   4 |   0 |   69.43 |    2.15 |    0.49 |    0.06 | 1f4886b |
|             NEON |      small.en |   4 |   0 |  226.93 |    5.51 |    1.19 |    0.18 | 1f4886b |
|             NEON |         small |   4 |   0 |  226.99 |    5.52 |    1.21 |    0.18 | 1f4886b |
|             NEON |     medium.en |   4 |   0 |  679.05 |   14.33 |    3.05 |    0.49 | 1f4886b |
|             NEON |        medium |   4 |   0 |  684.58 |   14.34 |    3.08 |    0.49 | 1f4886b |
|             NEON |      large-v1 |   4 |   0 | 1267.46 |   24.81 |    5.25 |    0.89 | 1f4886b |
|             NEON |      large-v2 |   4 |   0 | 1270.29 |   24.87 |    5.26 |    0.89 | 1f4886b |
|             NEON |      large-v3 |   4 |   0 | 1268.42 |   24.90 |    5.27 |    0.89 | 1f4886b |
|             NEON | large-v3-turbo |   4 |   0 | 1160.42 |    4.52 |    0.95 |    0.15 | 1f4886b |
