|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  560.57 |    1.85 |    0.97 |    0.77 | 1f4886b |
|             AVX2 |          tiny |   4 |   0 |  559.60 |    1.84 |    1.00 |    0.77 | 1f4886b |
|             AVX2 |       base.en |   4 |   0 | 1239.44 |    3.59 |    1.73 |    1.36 | 1f4886b |
|             AVX2 |          base |   4 |   0 | 1241.93 |    3.64 |    1.74 |    1.34 | 1f4886b |
|             AVX2 |      small.en |   4 |   0 | 4347.65 |   10.30 |    4.88 |    3.83 | 1f4886b |
|             AVX2 |         small |   4 |   0 | 4353.56 |   10.39 |    4.90 |    3.81 | 1f4886b |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.27 |   13.71 |   10.63 | 1f4886b |
|             AVX2 |        medium |   4 |   0 |      ms |   29.21 |   13.73 |   10.67 | 1f4886b |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   53.54 |   24.97 |   19.52 | 1f4886b |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   53.63 |   25.33 |   19.62 | 1f4886b |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.69 |   25.11 |   19.58 | 1f4886b |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.65 |    4.43 |    3.46 | 1f4886b |
