|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |  544.89 |    2.01 |    1.02 |    0.79 | 1f4886b4 |
|             NEON |          tiny |   4 |   0 |  546.19 |    2.04 |    1.03 |    0.79 | 1f4886b4 |
|             NEON |       base.en |   4 |   0 | 1232.05 |    4.20 |    1.92 |    1.38 | 1f4886b4 |
|             NEON |          base |   4 |   0 | 1231.89 |    4.31 |    1.93 |    1.38 | 1f4886b4 |
|             NEON |      small.en |   4 |   0 | 4374.92 |   12.20 |    5.46 |    3.79 | 1f4886b4 |
|             NEON |         small |   4 |   0 | 4373.47 |   12.11 |    5.45 |    3.78 | 1f4886b4 |
|             NEON |     medium.en |   4 |   0 |      ms |   33.44 |   14.56 |   10.62 | 1f4886b4 |
|             NEON |        medium |   4 |   0 |      ms |   33.52 |   14.65 |   10.63 | 1f4886b4 |
|             NEON |      large-v1 |   4 |   0 |      ms |   59.17 |   26.01 |   19.36 | 1f4886b4 |
|             NEON |      large-v2 |   4 |   0 |      ms |   59.11 |   26.00 |   19.35 | 1f4886b4 |
|             NEON |      large-v3 |   4 |   0 |      ms |   59.62 |   26.02 |   19.41 | 1f4886b4 |
|             NEON | large-v3-turbo |   4 |   0 |      ms |    9.97 |    4.50 |    3.41 | 1f4886b4 |
