|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.13 |    1.02 |    0.29 |    0.01 | 1f4886b4 |
|             AVX2 |          tiny |   4 |   0 |    5.85 |    0.99 |    0.31 |    0.01 | 1f4886b4 |
|             AVX2 |       base.en |   4 |   0 |   10.61 |    1.48 |    0.41 |    0.02 | 1f4886b4 |
|             AVX2 |          base |   4 |   0 |   10.59 |    1.42 |    0.42 |    0.02 | 1f4886b4 |
|             AVX2 |      small.en |   4 |   0 |   29.97 |    2.72 |    0.82 |    0.04 | 1f4886b4 |
|             AVX2 |         small |   4 |   0 |   29.96 |    2.73 |    0.84 |    0.04 | 1f4886b4 |
|             AVX2 |     medium.en |   4 |   0 |   81.30 |    6.09 |    1.79 |    0.09 | 1f4886b4 |
|             AVX2 |        medium |   4 |   0 |   81.30 |    5.96 |    1.79 |    0.09 | 1f4886b4 |
|             AVX2 |      large-v1 |   4 |   0 |  134.76 |    8.63 |    2.68 |    0.14 | 1f4886b4 |
|             AVX2 |      large-v2 |   4 |   0 |  134.75 |    8.59 |    2.68 |    0.14 | 1f4886b4 |
|             AVX2 |      large-v3 |   4 |   0 |  135.05 |    8.62 |    2.71 |    0.14 | 1f4886b4 |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.34 |    1.38 |    0.46 |    0.02 | 1f4886b4 |
