|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  445.89 |    1.28 |    0.73 |    0.60 | 1f4886b |
|             AVX2 |          tiny |   4 |   0 |  440.62 |    1.25 |    0.72 |    0.60 | 1f4886b |
|             AVX2 |       base.en |   4 |   0 |  964.06 |    2.98 |    1.42 |    1.05 | 1f4886b |
|             AVX2 |          base |   4 |   0 |  966.29 |    2.99 |    1.40 |    1.05 | 1f4886b |
|             AVX2 |      small.en |   4 |   0 | 3398.06 |   10.93 |    4.49 |    2.99 | 1f4886b |
|             AVX2 |         small |   4 |   0 | 3412.31 |   10.96 |    4.48 |    2.99 | 1f4886b |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.28 |   12.92 |    8.38 | 1f4886b |
|             AVX2 |        medium |   4 |   0 |      ms |   32.31 |   12.93 |    8.35 | 1f4886b |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.03 |   24.38 |   15.41 | 1f4886b |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.37 |   24.42 |   15.40 | 1f4886b |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   61.03 |   24.41 |   15.42 | 1f4886b |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.08 |    4.12 |    2.76 | 1f4886b |
