|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   33.95 |    1.32 |    0.38 |    0.03 | 215990a |
|             NEON |          tiny |   4 |   0 |   34.23 |    1.31 |    0.36 |    0.03 | 215990a |
|             NEON |       base.en |   4 |   0 |   69.61 |    2.14 |    0.47 |    0.06 | 215990a |
|             NEON |          base |   4 |   0 |   69.51 |    2.13 |    0.49 |    0.06 | 215990a |
|             NEON |      small.en |   4 |   0 |  227.01 |    5.52 |    1.19 |    0.18 | 215990a |
|             NEON |         small |   4 |   0 |  226.76 |    5.51 |    1.20 |    0.18 | 215990a |
|             NEON |     medium.en |   4 |   0 |  675.86 |   14.35 |    3.02 |    0.49 | 215990a |
|             NEON |        medium |   4 |   0 |  679.74 |   14.32 |    3.07 |    0.49 | 215990a |
|             NEON |      large-v1 |   4 |   0 | 1266.34 |   24.88 |    5.26 |    0.89 | 215990a |
|             NEON |      large-v2 |   4 |   0 | 1267.92 |   24.88 |    5.24 |    0.89 | 215990a |
|             NEON |      large-v3 |   4 |   0 | 1272.59 |   24.88 |    5.23 |    0.89 | 215990a |
|             NEON | large-v3-turbo |   4 |   0 | 1159.30 |    4.53 |    0.95 |    0.15 | 215990a |
