|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  576.65 |    2.05 |    1.02 |    0.79 | 215990a |
|             AVX2 |          tiny |   4 |   0 |  578.35 |    2.02 |    1.02 |    0.79 | 215990a |
|             AVX2 |       base.en |   4 |   0 | 1266.29 |    3.76 |    1.78 |    1.39 | 215990a |
|             AVX2 |          base |   4 |   0 | 1267.70 |    3.85 |    1.77 |    1.38 | 215990a |
|             AVX2 |      small.en |   4 |   0 | 4430.84 |   10.63 |    5.01 |    3.88 | 215990a |
|             AVX2 |         small |   4 |   0 | 4447.62 |   10.62 |    5.01 |    3.90 | 215990a |
|             AVX2 |     medium.en |   4 |   0 |      ms |   30.00 |   14.11 |   10.80 | 215990a |
|             AVX2 |        medium |   4 |   0 |      ms |   30.09 |   14.08 |   10.80 | 215990a |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   54.95 |   25.55 |   19.85 | 215990a |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   54.50 |   25.90 |   19.89 | 215990a |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   54.95 |   25.77 |   19.84 | 215990a |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.83 |    4.53 |    3.55 | 215990a |
