|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |  547.87 |    2.04 |    1.03 |    0.79 | 215990ab |
|             NEON |          tiny |   4 |   0 |  547.27 |    2.02 |    1.04 |    0.79 | 215990ab |
|             NEON |       base.en |   4 |   0 | 1230.81 |    4.32 |    1.94 |    1.38 | 215990ab |
|             NEON |          base |   4 |   0 | 1230.99 |    4.22 |    1.92 |    1.38 | 215990ab |
|             NEON |      small.en |   4 |   0 | 4381.67 |   12.14 |    5.44 |    3.78 | 215990ab |
|             NEON |         small |   4 |   0 | 4384.37 |   12.10 |    5.45 |    3.79 | 215990ab |
|             NEON |     medium.en |   4 |   0 |      ms |   33.33 |   14.52 |   10.62 | 215990ab |
|             NEON |        medium |   4 |   0 |      ms |   33.17 |   14.56 |   10.61 | 215990ab |
|             NEON |      large-v1 |   4 |   0 |      ms |   60.04 |   26.25 |   19.42 | 215990ab |
|             NEON |      large-v2 |   4 |   0 |      ms |   60.24 |   26.27 |   19.44 | 215990ab |
|             NEON |      large-v3 |   4 |   0 |      ms |   58.88 |   25.76 |   19.36 | 215990ab |
|             NEON | large-v3-turbo |   4 |   0 |      ms |    9.90 |    4.51 |    3.41 | 215990ab |
