|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.15 |    1.09 |    0.28 |    0.01 | 215990ab |
|             AVX2 |          tiny |   4 |   0 |    5.80 |    0.98 |    0.30 |    0.01 | 215990ab |
|             AVX2 |       base.en |   4 |   0 |   10.64 |    1.43 |    0.41 |    0.02 | 215990ab |
|             AVX2 |          base |   4 |   0 |   10.60 |    1.51 |    0.42 |    0.02 | 215990ab |
|             AVX2 |      small.en |   4 |   0 |   30.00 |    2.76 |    0.83 |    0.04 | 215990ab |
|             AVX2 |         small |   4 |   0 |   30.18 |    2.74 |    0.85 |    0.04 | 215990ab |
|             AVX2 |     medium.en |   4 |   0 |   81.41 |    5.94 |    1.78 |    0.09 | 215990ab |
|             AVX2 |        medium |   4 |   0 |   81.42 |    5.94 |    1.79 |    0.09 | 215990ab |
|             AVX2 |      large-v1 |   4 |   0 |  134.63 |    8.54 |    2.71 |    0.14 | 215990ab |
|             AVX2 |      large-v2 |   4 |   0 |  134.85 |    8.56 |    2.68 |    0.14 | 215990ab |
|             AVX2 |      large-v3 |   4 |   0 |  135.04 |    8.61 |    2.69 |    0.14 | 215990ab |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.40 |    1.37 |    0.43 |    0.02 | 215990ab |
