|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  441.33 |    1.23 |    0.72 |    0.60 | 215990a |
|             AVX2 |          tiny |   4 |   0 |  438.47 |    1.41 |    0.76 |    0.60 | 215990a |
|             AVX2 |       base.en |   4 |   0 |  966.74 |    3.03 |    1.43 |    1.05 | 215990a |
|             AVX2 |          base |   4 |   0 |  968.31 |    2.97 |    1.41 |    1.05 | 215990a |
|             AVX2 |      small.en |   4 |   0 | 3412.33 |   10.88 |    4.46 |    2.99 | 215990a |
|             AVX2 |         small |   4 |   0 | 3405.59 |   10.91 |    4.50 |    2.99 | 215990a |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.14 |   12.93 |    8.37 | 215990a |
|             AVX2 |        medium |   4 |   0 |      ms |   32.29 |   12.92 |    8.36 | 215990a |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.30 |   24.38 |   15.39 | 215990a |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.10 |   24.34 |   15.39 | 215990a |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   60.94 |   24.38 |   15.39 | 215990a |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.09 |    4.14 |    2.75 | 215990a |
