|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   33.94 |    1.31 |    0.38 |    0.03 | 21fb513 |
|             NEON |          tiny |   4 |   0 |   34.05 |    1.35 |    0.37 |    0.03 | 21fb513 |
|             NEON |       base.en |   4 |   0 |   69.82 |    2.10 |    0.46 |    0.06 | 21fb513 |
|             NEON |          base |   4 |   0 |   69.32 |    2.12 |    0.48 |    0.06 | 21fb513 |
|             NEON |      small.en |   4 |   0 |  226.45 |    5.49 |    1.19 |    0.18 | 21fb513 |
|             NEON |         small |   4 |   0 |  226.57 |    5.50 |    1.19 |    0.18 | 21fb513 |
|             NEON |     medium.en |   4 |   0 |  676.39 |   14.23 |    3.05 |    0.49 | 21fb513 |
|             NEON |        medium |   4 |   0 |  678.13 |   14.31 |    2.99 |    0.49 | 21fb513 |
|             NEON |      large-v1 |   4 |   0 | 1262.10 |   24.72 |    5.24 |    0.89 | 21fb513 |
|             NEON |      large-v2 |   4 |   0 | 1266.17 |   24.76 |    5.19 |    0.89 | 21fb513 |
|             NEON |      large-v3 |   4 |   0 | 1261.79 |   24.77 |    5.27 |    0.90 | 21fb513 |
|             NEON | large-v3-turbo |   4 |   0 | 1163.94 |    4.51 |    0.95 |    0.15 | 21fb513 |
