|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  550.45 |    1.82 |    0.97 |    0.74 | 21fb513 |
|             AVX2 |          tiny |   4 |   0 |  548.76 |    1.84 |    0.97 |    0.75 | 21fb513 |
|             AVX2 |       base.en |   4 |   0 | 1202.05 |    3.62 |    1.69 |    1.31 | 21fb513 |
|             AVX2 |          base |   4 |   0 | 1203.62 |    3.50 |    1.70 |    1.31 | 21fb513 |
|             AVX2 |      small.en |   4 |   0 | 4214.65 |   10.20 |    4.72 |    3.67 | 21fb513 |
|             AVX2 |         small |   4 |   0 | 4210.16 |   10.22 |    4.68 |    3.68 | 21fb513 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.16 |   13.35 |   10.26 | 21fb513 |
|             AVX2 |        medium |   4 |   0 |      ms |   29.08 |   13.29 |   10.24 | 21fb513 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   52.96 |   24.29 |   18.82 | 21fb513 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   53.11 |   24.45 |   18.80 | 21fb513 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.18 |   24.29 |   18.85 | 21fb513 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.47 |    4.24 |    3.34 | 21fb513 |
