|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |  545.66 |    2.04 |    1.04 |    0.79 | 21fb513e |
|             NEON |          tiny |   4 |   0 |  548.05 |    2.05 |    1.05 |    0.79 | 21fb513e |
|             NEON |       base.en |   4 |   0 | 1235.90 |    4.32 |    1.94 |    1.39 | 21fb513e |
|             NEON |          base |   4 |   0 | 1243.70 |    4.30 |    1.96 |    1.38 | 21fb513e |
|             NEON |      small.en |   4 |   0 | 4388.85 |   12.10 |    5.43 |    3.79 | 21fb513e |
|             NEON |         small |   4 |   0 | 4394.03 |   12.13 |    5.46 |    3.80 | 21fb513e |
|             NEON |     medium.en |   4 |   0 |      ms |   33.50 |   14.45 |   10.66 | 21fb513e |
|             NEON |        medium |   4 |   0 |      ms |   33.67 |   14.65 |   10.67 | 21fb513e |
|             NEON |      large-v1 |   4 |   0 |      ms |   60.85 |   26.29 |   19.58 | 21fb513e |
|             NEON |      large-v2 |   4 |   0 |      ms |   60.51 |   26.30 |   19.59 | 21fb513e |
|             NEON |      large-v3 |   4 |   0 |      ms |   60.01 |   26.09 |   19.60 | 21fb513e |
|             NEON | large-v3-turbo |   4 |   0 |      ms |   10.02 |    4.51 |    3.43 | 21fb513e |
