|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.14 |    1.03 |    0.29 |    0.01 | 21fb513e |
|             AVX2 |          tiny |   4 |   0 |    5.79 |    1.01 |    0.30 |    0.01 | 21fb513e |
|             AVX2 |       base.en |   4 |   0 |   10.62 |    1.44 |    0.41 |    0.02 | 21fb513e |
|             AVX2 |          base |   4 |   0 |   10.59 |    1.43 |    0.43 |    0.02 | 21fb513e |
|             AVX2 |      small.en |   4 |   0 |   30.02 |    2.76 |    0.83 |    0.04 | 21fb513e |
|             AVX2 |         small |   4 |   0 |   29.95 |    2.75 |    0.85 |    0.04 | 21fb513e |
|             AVX2 |     medium.en |   4 |   0 |   81.29 |    5.95 |    1.79 |    0.09 | 21fb513e |
|             AVX2 |        medium |   4 |   0 |   81.39 |    5.94 |    1.83 |    0.09 | 21fb513e |
|             AVX2 |      large-v1 |   4 |   0 |  134.82 |    8.70 |    2.70 |    0.14 | 21fb513e |
|             AVX2 |      large-v2 |   4 |   0 |  134.72 |    8.62 |    2.69 |    0.14 | 21fb513e |
|             AVX2 |      large-v3 |   4 |   0 |  135.19 |    8.72 |    2.70 |    0.14 | 21fb513e |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.45 |    1.39 |    0.44 |    0.02 | 21fb513e |
