|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  439.08 |    1.24 |    0.72 |    0.60 | 21fb513 |
|             AVX2 |          tiny |   4 |   0 |  439.94 |    1.26 |    0.73 |    0.60 | 21fb513 |
|             AVX2 |       base.en |   4 |   0 |  962.12 |    2.93 |    1.41 |    1.05 | 21fb513 |
|             AVX2 |          base |   4 |   0 |  980.39 |    2.94 |    1.39 |    1.05 | 21fb513 |
|             AVX2 |      small.en |   4 |   0 | 3408.52 |   10.89 |    4.50 |    2.99 | 21fb513 |
|             AVX2 |         small |   4 |   0 | 3407.76 |   10.91 |    4.47 |    2.99 | 21fb513 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.26 |   12.91 |    8.36 | 21fb513 |
|             AVX2 |        medium |   4 |   0 |      ms |   32.41 |   12.95 |    8.38 | 21fb513 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.18 |   24.37 |   15.40 | 21fb513 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.34 |   24.42 |   15.41 | 21fb513 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   61.08 |   24.42 |   15.40 | 21fb513 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.11 |    4.14 |    2.75 | 21fb513 |
