|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   33.93 |    1.32 |    0.38 |    0.03 | 3fc6ad9 |
|             NEON |          tiny |   4 |   0 |   33.98 |    1.31 |    0.37 |    0.03 | 3fc6ad9 |
|             NEON |       base.en |   4 |   0 |   69.35 |    2.18 |    0.46 |    0.06 | 3fc6ad9 |
|             NEON |          base |   4 |   0 |   69.46 |    2.15 |    0.48 |    0.06 | 3fc6ad9 |
|             NEON |      small.en |   4 |   0 |  230.83 |    5.74 |    1.24 |    0.18 | 3fc6ad9 |
|             NEON |         small |   4 |   0 |  226.93 |    5.49 |    1.19 |    0.18 | 3fc6ad9 |
|             NEON |     medium.en |   4 |   0 |  677.65 |   14.28 |    3.06 |    0.49 | 3fc6ad9 |
|             NEON |        medium |   4 |   0 |  677.46 |   14.31 |    3.05 |    0.49 | 3fc6ad9 |
|             NEON |      large-v1 |   4 |   0 | 1270.09 |   24.74 |    5.23 |    0.89 | 3fc6ad9 |
|             NEON |      large-v2 |   4 |   0 | 1267.44 |   24.76 |    5.25 |    0.89 | 3fc6ad9 |
|             NEON |      large-v3 |   4 |   0 | 1263.64 |   24.77 |    5.25 |    0.89 | 3fc6ad9 |
|             NEON | large-v3-turbo |   4 |   0 | 1157.86 |    4.51 |    0.95 |    0.15 | 3fc6ad9 |
