|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  543.38 |    1.80 |    0.92 |    0.74 | 3fc6ad9 |
|             AVX2 |          tiny |   4 |   0 |  548.46 |    1.81 |    0.93 |    0.74 | 3fc6ad9 |
|             AVX2 |       base.en |   4 |   0 | 1199.43 |    3.57 |    1.70 |    1.30 | 3fc6ad9 |
|             AVX2 |          base |   4 |   0 | 1203.64 |    3.55 |    1.69 |    1.30 | 3fc6ad9 |
|             AVX2 |      small.en |   4 |   0 | 4214.28 |   10.33 |    4.71 |    3.68 | 3fc6ad9 |
|             AVX2 |         small |   4 |   0 | 4254.49 |   10.36 |    4.70 |    3.68 | 3fc6ad9 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.14 |   13.35 |   10.26 | 3fc6ad9 |
|             AVX2 |        medium |   4 |   0 |      ms |   29.09 |   13.32 |   10.24 | 3fc6ad9 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   52.98 |   24.19 |   18.76 | 3fc6ad9 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   53.13 |   24.26 |   18.79 | 3fc6ad9 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.12 |   24.46 |   18.77 | 3fc6ad9 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.45 |    4.25 |    3.33 | 3fc6ad9 |
