|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.15 |    1.06 |    0.29 |    0.01 | 3fc6ad97 |
|             AVX2 |          tiny |   4 |   0 |    5.83 |    0.98 |    0.30 |    0.01 | 3fc6ad97 |
|             AVX2 |       base.en |   4 |   0 |   10.60 |    1.41 |    0.41 |    0.02 | 3fc6ad97 |
|             AVX2 |          base |   4 |   0 |   10.60 |    1.43 |    0.42 |    0.02 | 3fc6ad97 |
|             AVX2 |      small.en |   4 |   0 |   29.96 |    2.73 |    0.82 |    0.04 | 3fc6ad97 |
|             AVX2 |         small |   4 |   0 |   29.98 |    2.74 |    0.84 |    0.04 | 3fc6ad97 |
|             AVX2 |     medium.en |   4 |   0 |   81.49 |    5.96 |    1.77 |    0.09 | 3fc6ad97 |
|             AVX2 |        medium |   4 |   0 |   81.31 |    5.91 |    1.80 |    0.09 | 3fc6ad97 |
|             AVX2 |      large-v1 |   4 |   0 |  134.67 |    8.57 |    2.73 |    0.14 | 3fc6ad97 |
|             AVX2 |      large-v2 |   4 |   0 |  134.72 |    8.54 |    2.69 |    0.14 | 3fc6ad97 |
|             AVX2 |      large-v3 |   4 |   0 |  135.09 |    8.68 |    2.67 |    0.14 | 3fc6ad97 |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.50 |    1.39 |    0.44 |    0.02 | 3fc6ad97 |
