|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  439.47 |    1.31 |    0.74 |    0.60 | 3fc6ad9 |
|             AVX2 |          tiny |   4 |   0 |  439.03 |    1.24 |    0.72 |    0.60 | 3fc6ad9 |
|             AVX2 |       base.en |   4 |   0 |  965.01 |    2.95 |    1.42 |    1.05 | 3fc6ad9 |
|             AVX2 |          base |   4 |   0 |  969.53 |    2.94 |    1.40 |    1.05 | 3fc6ad9 |
|             AVX2 |      small.en |   4 |   0 | 3403.08 |   10.92 |    4.48 |    3.00 | 3fc6ad9 |
|             AVX2 |         small |   4 |   0 | 3414.14 |   10.97 |    4.48 |    3.00 | 3fc6ad9 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.29 |   12.94 |    8.37 | 3fc6ad9 |
|             AVX2 |        medium |   4 |   0 |      ms |   32.19 |   12.90 |    8.37 | 3fc6ad9 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.29 |   24.41 |   15.42 | 3fc6ad9 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.20 |   24.37 |   15.42 | 3fc6ad9 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   61.10 |   24.37 |   15.41 | 3fc6ad9 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.08 |    4.12 |    2.75 | 3fc6ad9 |
