|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   33.90 |    1.32 |    0.38 |    0.03 | 4854789 |
|             NEON |          tiny |   4 |   0 |   33.92 |    1.32 |    0.38 |    0.03 | 4854789 |
|             NEON |       base.en |   4 |   0 |   69.32 |    2.16 |    0.48 |    0.06 | 4854789 |
|             NEON |          base |   4 |   0 |   69.38 |    2.14 |    0.49 |    0.06 | 4854789 |
|             NEON |      small.en |   4 |   0 |  227.41 |    5.47 |    1.19 |    0.18 | 4854789 |
|             NEON |         small |   4 |   0 |  226.79 |    5.49 |    1.20 |    0.18 | 4854789 |
|             NEON |     medium.en |   4 |   0 |  675.95 |   14.29 |    3.03 |    0.49 | 4854789 |
|             NEON |        medium |   4 |   0 |  677.61 |   14.30 |    3.07 |    0.49 | 4854789 |
|             NEON |      large-v1 |   4 |   0 | 1278.48 |   25.42 |    5.23 |    0.89 | 4854789 |
|             NEON |      large-v2 |   4 |   0 | 1267.07 |   24.77 |    5.24 |    0.89 | 4854789 |
|             NEON |      large-v3 |   4 |   0 | 1274.83 |   24.78 |    5.23 |    0.89 | 4854789 |
|             NEON | large-v3-turbo |   4 |   0 | 1157.91 |    4.51 |    0.95 |    0.15 | 4854789 |
