|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  560.13 |    1.88 |    0.95 |    0.76 | 4854789 |
|             AVX2 |          tiny |   4 |   0 |  564.37 |    1.83 |    0.97 |    0.78 | 4854789 |
|             AVX2 |       base.en |   4 |   0 | 1251.00 |    3.64 |    1.75 |    1.34 | 4854789 |
|             AVX2 |          base |   4 |   0 | 1238.01 |    3.61 |    1.75 |    1.35 | 4854789 |
|             AVX2 |      small.en |   4 |   0 | 4375.67 |   10.45 |    4.88 |    3.82 | 4854789 |
|             AVX2 |         small |   4 |   0 | 4383.81 |   10.59 |    4.92 |    3.80 | 4854789 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.47 |   13.87 |   10.70 | 4854789 |
|             AVX2 |        medium |   4 |   0 |      ms |   29.32 |   13.90 |   10.64 | 4854789 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   53.85 |   25.18 |   19.51 | 4854789 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   54.08 |   24.96 |   19.43 | 4854789 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.67 |   25.03 |   19.43 | 4854789 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.56 |    4.38 |    3.45 | 4854789 |
