|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |  546.45 |    2.03 |    1.04 |    0.79 | 48547897 |
|             NEON |          tiny |   4 |   0 |  545.50 |    2.00 |    1.03 |    0.79 | 48547897 |
|             NEON |       base.en |   4 |   0 | 1233.45 |    4.26 |    1.93 |    1.38 | 48547897 |
|             NEON |          base |   4 |   0 | 1234.58 |    4.24 |    1.92 |    1.38 | 48547897 |
|             NEON |      small.en |   4 |   0 | 4362.61 |   12.05 |    5.42 |    3.77 | 48547897 |
|             NEON |         small |   4 |   0 | 4372.66 |   11.89 |    5.42 |    3.78 | 48547897 |
|             NEON |     medium.en |   4 |   0 |      ms |   33.13 |   14.40 |   10.62 | 48547897 |
|             NEON |        medium |   4 |   0 |      ms |   33.68 |   14.63 |   10.63 | 48547897 |
|             NEON |      large-v1 |   4 |   0 |      ms |   59.63 |   26.12 |   19.41 | 48547897 |
|             NEON |      large-v2 |   4 |   0 |      ms |   59.38 |   26.13 |   19.39 | 48547897 |
|             NEON |      large-v3 |   4 |   0 |      ms |   59.87 |   25.97 |   19.42 | 48547897 |
|             NEON | large-v3-turbo |   4 |   0 |      ms |    9.94 |    4.50 |    3.41 | 48547897 |
