|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.14 |    1.09 |    0.29 |    0.01 | 48547897 |
|             AVX2 |          tiny |   4 |   0 |    5.81 |    0.99 |    0.30 |    0.01 | 48547897 |
|             AVX2 |       base.en |   4 |   0 |   10.60 |    1.41 |    0.41 |    0.02 | 48547897 |
|             AVX2 |          base |   4 |   0 |   10.62 |    1.44 |    0.44 |    0.02 | 48547897 |
|             AVX2 |      small.en |   4 |   0 |   29.96 |    2.79 |    0.86 |    0.04 | 48547897 |
|             AVX2 |         small |   4 |   0 |   29.96 |    2.76 |    0.88 |    0.04 | 48547897 |
|             AVX2 |     medium.en |   4 |   0 |   81.36 |    5.96 |    1.77 |    0.09 | 48547897 |
|             AVX2 |        medium |   4 |   0 |   81.50 |    6.08 |    1.84 |    0.09 | 48547897 |
|             AVX2 |      large-v1 |   4 |   0 |  134.71 |    8.62 |    2.70 |    0.14 | 48547897 |
|             AVX2 |      large-v2 |   4 |   0 |  135.06 |    8.64 |    2.69 |    0.14 | 48547897 |
|             AVX2 |      large-v3 |   4 |   0 |  134.90 |    8.56 |    2.67 |    0.14 | 48547897 |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.40 |    1.37 |    0.44 |    0.02 | 48547897 |
