|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  441.43 |    1.26 |    0.73 |    0.60 | 4854789 |
|             AVX2 |          tiny |   4 |   0 |  442.24 |    1.25 |    0.73 |    0.60 | 4854789 |
|             AVX2 |       base.en |   4 |   0 |  961.94 |    3.03 |    1.43 |    1.05 | 4854789 |
|             AVX2 |          base |   4 |   0 |  968.50 |    2.94 |    1.40 |    1.05 | 4854789 |
|             AVX2 |      small.en |   4 |   0 | 3404.12 |   10.83 |    4.47 |    2.98 | 4854789 |
|             AVX2 |         small |   4 |   0 | 3411.92 |   10.98 |    4.49 |    2.98 | 4854789 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.25 |   12.95 |    8.42 | 4854789 |
|             AVX2 |        medium |   4 |   0 |      ms |   32.13 |   12.87 |    8.36 | 4854789 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.26 |   24.40 |   15.40 | 4854789 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.27 |   24.38 |   15.40 | 4854789 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   61.10 |   24.34 |   15.39 | 4854789 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.04 |    4.12 |    2.75 | 4854789 |
