|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   34.39 |    1.31 |    0.38 |    0.03 | 485ece6 |
|             NEON |          tiny |   4 |   0 |   33.90 |    1.31 |    0.38 |    0.03 | 485ece6 |
|             NEON |       base.en |   4 |   0 |   69.46 |    2.13 |    0.48 |    0.06 | 485ece6 |
|             NEON |          base |   4 |   0 |   70.74 |    2.13 |    0.46 |    0.06 | 485ece6 |
|             NEON |      small.en |   4 |   0 |  233.22 |    5.45 |    1.20 |    0.18 | 485ece6 |
|             NEON |         small |   4 |   0 |  227.96 |    5.49 |    1.20 |    0.18 | 485ece6 |
|             NEON |     medium.en |   4 |   0 |  681.80 |   14.27 |    3.05 |    0.49 | 485ece6 |
|             NEON |        medium |   4 |   0 |  681.59 |   14.30 |    3.07 |    0.49 | 485ece6 |
|             NEON |      large-v1 |   4 |   0 | 1266.28 |   24.75 |    5.24 |    0.89 | 485ece6 |
|             NEON |      large-v2 |   4 |   0 | 1266.46 |   24.79 |    5.25 |    0.89 | 485ece6 |
|             NEON |      large-v3 |   4 |   0 | 1272.06 |   24.79 |    5.26 |    0.89 | 485ece6 |
|             NEON | large-v3-turbo |   4 |   0 | 1157.32 |    4.49 |    0.95 |    0.15 | 485ece6 |
