|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  542.16 |    1.92 |    0.96 |    0.75 | 485ece6 |
|             AVX2 |          tiny |   4 |   0 |  553.59 |    1.83 |    0.94 |    0.74 | 485ece6 |
|             AVX2 |       base.en |   4 |   0 | 1203.46 |    3.61 |    1.72 |    1.32 | 485ece6 |
|             AVX2 |          base |   4 |   0 | 1211.40 |    3.75 |    1.72 |    1.32 | 485ece6 |
|             AVX2 |      small.en |   4 |   0 | 4254.57 |   10.53 |    4.75 |    3.70 | 485ece6 |
|             AVX2 |         small |   4 |   0 | 4261.90 |   10.48 |    4.78 |    3.70 | 485ece6 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.40 |   13.31 |   10.28 | 485ece6 |
|             AVX2 |        medium |   4 |   0 |      ms |   28.80 |   13.30 |   10.30 | 485ece6 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   53.38 |   24.31 |   18.85 | 485ece6 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   53.21 |   24.40 |   18.85 | 485ece6 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.20 |   24.35 |   18.84 | 485ece6 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.41 |    4.20 |    3.33 | 485ece6 |
