|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |  548.35 |    2.07 |    1.05 |    0.80 | 485ece67 |
|             NEON |          tiny |   4 |   0 |  549.29 |    2.11 |    1.05 |    0.80 | 485ece67 |
|             NEON |       base.en |   4 |   0 | 1239.34 |    4.33 |    1.94 |    1.39 | 485ece67 |
|             NEON |          base |   4 |   0 | 1243.15 |    4.31 |    1.94 |    1.39 | 485ece67 |
|             NEON |      small.en |   4 |   0 | 4417.00 |   12.33 |    5.48 |    3.81 | 485ece67 |
|             NEON |         small |   4 |   0 | 4416.51 |   12.21 |    5.48 |    3.80 | 485ece67 |
|             NEON |     medium.en |   4 |   0 |      ms |   33.79 |   14.45 |   10.68 | 485ece67 |
|             NEON |        medium |   4 |   0 |      ms |   33.43 |   14.52 |   10.67 | 485ece67 |
|             NEON |      large-v1 |   4 |   0 |      ms |   60.69 |   26.37 |   19.62 | 485ece67 |
|             NEON |      large-v2 |   4 |   0 |      ms |   60.93 |   26.34 |   19.60 | 485ece67 |
|             NEON |      large-v3 |   4 |   0 |      ms |   60.19 |   26.20 |   19.55 | 485ece67 |
|             NEON | large-v3-turbo |   4 |   0 |      ms |   10.16 |    4.55 |    3.44 | 485ece67 |
