|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.14 |    1.07 |    0.29 |    0.01 | 485ece67 |
|             AVX2 |          tiny |   4 |   0 |    5.81 |    1.06 |    0.30 |    0.01 | 485ece67 |
|             AVX2 |       base.en |   4 |   0 |   10.63 |    1.43 |    0.41 |    0.02 | 485ece67 |
|             AVX2 |          base |   4 |   0 |   10.64 |    1.43 |    0.43 |    0.02 | 485ece67 |
|             AVX2 |      small.en |   4 |   0 |   30.09 |    2.76 |    0.83 |    0.04 | 485ece67 |
|             AVX2 |         small |   4 |   0 |   29.94 |    2.76 |    0.84 |    0.04 | 485ece67 |
|             AVX2 |     medium.en |   4 |   0 |   81.40 |    5.95 |    1.77 |    0.09 | 485ece67 |
|             AVX2 |        medium |   4 |   0 |   81.54 |    6.03 |    1.81 |    0.09 | 485ece67 |
|             AVX2 |      large-v1 |   4 |   0 |  134.68 |    8.61 |    2.67 |    0.14 | 485ece67 |
|             AVX2 |      large-v2 |   4 |   0 |  134.72 |    8.66 |    2.69 |    0.14 | 485ece67 |
|             AVX2 |      large-v3 |   4 |   0 |  135.09 |    8.61 |    2.65 |    0.14 | 485ece67 |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.47 |    1.37 |    0.44 |    0.02 | 485ece67 |
