|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  439.81 |    1.24 |    0.72 |    0.60 | 485ece6 |
|             AVX2 |          tiny |   4 |   0 |  440.82 |    1.26 |    0.73 |    0.60 | 485ece6 |
|             AVX2 |       base.en |   4 |   0 |  963.72 |    2.97 |    1.42 |    1.05 | 485ece6 |
|             AVX2 |          base |   4 |   0 |  974.25 |    2.96 |    1.41 |    1.05 | 485ece6 |
|             AVX2 |      small.en |   4 |   0 | 3413.62 |   10.96 |    4.52 |    2.98 | 485ece6 |
|             AVX2 |         small |   4 |   0 | 3405.39 |   10.97 |    4.49 |    2.98 | 485ece6 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.26 |   12.94 |    8.37 | 485ece6 |
|             AVX2 |        medium |   4 |   0 |      ms |   32.25 |   12.88 |    8.35 | 485ece6 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.26 |   24.40 |   15.42 | 485ece6 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.13 |   24.33 |   15.39 | 485ece6 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   61.01 |   24.38 |   15.40 | 485ece6 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.11 |    4.11 |    2.75 | 485ece6 |
