|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   33.88 |    1.31 |    0.38 |    0.03 | 4e56747 |
|             NEON |          tiny |   4 |   0 |   33.91 |    1.32 |    0.38 |    0.03 | 4e56747 |
|             NEON |       base.en |   4 |   0 |   69.31 |    2.12 |    0.48 |    0.06 | 4e56747 |
|             NEON |          base |   4 |   0 |   69.97 |    2.12 |    0.48 |    0.06 | 4e56747 |
|             NEON |      small.en |   4 |   0 |  227.19 |    5.49 |    1.16 |    0.18 | 4e56747 |
|             NEON |         small |   4 |   0 |  227.21 |    5.49 |    1.19 |    0.18 | 4e56747 |
|             NEON |     medium.en |   4 |   0 |  681.37 |   14.22 |    3.05 |    0.49 | 4e56747 |
|             NEON |        medium |   4 |   0 |  677.54 |   14.31 |    3.04 |    0.49 | 4e56747 |
|             NEON |      large-v1 |   4 |   0 | 1271.62 |   24.73 |    5.22 |    0.89 | 4e56747 |
|             NEON |      large-v2 |   4 |   0 | 1272.12 |   24.75 |    5.25 |    0.89 | 4e56747 |
|             NEON |      large-v3 |   4 |   0 | 1264.20 |   24.82 |    5.26 |    0.89 | 4e56747 |
|             NEON | large-v3-turbo |   4 |   0 | 1158.95 |    4.51 |    0.94 |    0.15 | 4e56747 |
