|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  548.40 |    1.94 |    0.97 |    0.75 | 4e56747 |
|             AVX2 |          tiny |   4 |   0 |  550.10 |    1.99 |    0.95 |    0.75 | 4e56747 |
|             AVX2 |       base.en |   4 |   0 | 1216.09 |    3.58 |    1.72 |    1.32 | 4e56747 |
|             AVX2 |          base |   4 |   0 | 1206.90 |    3.52 |    1.69 |    1.31 | 4e56747 |
|             AVX2 |      small.en |   4 |   0 | 4273.32 |   10.48 |    4.74 |    3.70 | 4e56747 |
|             AVX2 |         small |   4 |   0 | 4237.25 |   10.31 |    4.77 |    3.71 | 4e56747 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.15 |   13.35 |   10.29 | 4e56747 |
|             AVX2 |        medium |   4 |   0 |      ms |   28.98 |   13.34 |   10.28 | 4e56747 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   53.54 |   24.37 |   18.83 | 4e56747 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   53.05 |   24.26 |   18.82 | 4e56747 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.14 |   24.23 |   18.81 | 4e56747 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.41 |    4.24 |    3.33 | 4e56747 |
