|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |  546.24 |    2.04 |    1.03 |    0.79 | 4e567479 |
|             NEON |          tiny |   4 |   0 |  546.54 |    2.01 |    1.03 |    0.79 | 4e567479 |
|             NEON |       base.en |   4 |   0 | 1228.93 |    4.27 |    1.93 |    1.38 | 4e567479 |
|             NEON |          base |   4 |   0 | 1229.23 |    4.27 |    1.93 |    1.38 | 4e567479 |
|             NEON |      small.en |   4 |   0 | 4383.59 |   12.26 |    5.47 |    3.80 | 4e567479 |
|             NEON |         small |   4 |   0 | 4396.37 |   12.24 |    5.48 |    3.80 | 4e567479 |
|             NEON |     medium.en |   4 |   0 |      ms |   33.85 |   14.60 |   10.68 | 4e567479 |
|             NEON |        medium |   4 |   0 |      ms |   33.87 |   14.69 |   10.66 | 4e567479 |
|             NEON |      large-v1 |   4 |   0 |      ms |   60.91 |   26.38 |   19.55 | 4e567479 |
|             NEON |      large-v2 |   4 |   0 |      ms |   60.04 |   26.17 |   19.48 | 4e567479 |
|             NEON |      large-v3 |   4 |   0 |      ms |   59.66 |   25.99 |   19.44 | 4e567479 |
|             NEON | large-v3-turbo |   4 |   0 |      ms |   10.04 |    4.50 |    3.42 | 4e567479 |
