|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.14 |    1.04 |    0.28 |    0.01 | 4e567479 |
|             AVX2 |          tiny |   4 |   0 |    5.80 |    0.99 |    0.30 |    0.02 | 4e567479 |
|             AVX2 |       base.en |   4 |   0 |   10.60 |    1.42 |    0.41 |    0.02 | 4e567479 |
|             AVX2 |          base |   4 |   0 |   10.65 |    1.43 |    0.42 |    0.02 | 4e567479 |
|             AVX2 |      small.en |   4 |   0 |   29.97 |    2.77 |    0.83 |    0.04 | 4e567479 |
|             AVX2 |         small |   4 |   0 |   30.04 |    2.78 |    0.85 |    0.04 | 4e567479 |
|             AVX2 |     medium.en |   4 |   0 |   81.42 |    5.91 |    1.78 |    0.09 | 4e567479 |
|             AVX2 |        medium |   4 |   0 |   81.44 |    5.93 |    1.79 |    0.09 | 4e567479 |
|             AVX2 |      large-v1 |   4 |   0 |  134.67 |    8.64 |    2.69 |    0.14 | 4e567479 |
|             AVX2 |      large-v2 |   4 |   0 |  134.66 |    8.63 |    2.70 |    0.14 | 4e567479 |
|             AVX2 |      large-v3 |   4 |   0 |  135.18 |    8.64 |    2.68 |    0.14 | 4e567479 |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.62 |    1.37 |    0.45 |    0.02 | 4e567479 |
