|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  438.06 |    1.23 |    0.72 |    0.60 | 4e56747 |
|             AVX2 |          tiny |   4 |   0 |  440.36 |    1.29 |    0.73 |    0.60 | 4e56747 |
|             AVX2 |       base.en |   4 |   0 |  963.58 |    2.93 |    1.42 |    1.05 | 4e56747 |
|             AVX2 |          base |   4 |   0 |  963.20 |    3.02 |    1.42 |    1.05 | 4e56747 |
|             AVX2 |      small.en |   4 |   0 | 3405.71 |   10.90 |    4.50 |    2.98 | 4e56747 |
|             AVX2 |         small |   4 |   0 | 3406.49 |   10.95 |    4.50 |    2.98 | 4e56747 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.25 |   12.92 |    8.38 | 4e56747 |
|             AVX2 |        medium |   4 |   0 |      ms |   32.28 |   12.87 |    8.37 | 4e56747 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.32 |   24.40 |   15.38 | 4e56747 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.06 |   24.36 |   15.38 | 4e56747 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   60.94 |   24.37 |   15.40 | 4e56747 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.08 |    4.11 |    2.75 | 4e56747 |
