|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   33.95 |    1.34 |    0.38 |    0.03 | 60b481d |
|             NEON |          tiny |   4 |   0 |   34.02 |    1.32 |    0.38 |    0.03 | 60b481d |
|             NEON |       base.en |   4 |   0 |   70.51 |    2.15 |    0.48 |    0.06 | 60b481d |
|             NEON |          base |   4 |   0 |   69.34 |    2.17 |    0.48 |    0.06 | 60b481d |
|             NEON |      small.en |   4 |   0 |  228.67 |    5.42 |    1.21 |    0.18 | 60b481d |
|             NEON |         small |   4 |   0 |  229.35 |    5.48 |    1.21 |    0.18 | 60b481d |
|             NEON |     medium.en |   4 |   0 |  679.24 |   14.29 |    3.05 |    0.49 | 60b481d |
|             NEON |        medium |   4 |   0 |  675.75 |   14.30 |    3.07 |    0.49 | 60b481d |
|             NEON |      large-v1 |   4 |   0 | 1268.57 |   24.76 |    5.23 |    0.89 | 60b481d |
|             NEON |      large-v2 |   4 |   0 | 1264.82 |   24.75 |    5.24 |    0.89 | 60b481d |
|             NEON |      large-v3 |   4 |   0 | 1262.14 |   24.76 |    5.26 |    0.89 | 60b481d |
|             NEON | large-v3-turbo |   4 |   0 | 1161.45 |    4.49 |    0.94 |    0.15 | 60b481d |
