|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  559.66 |    1.97 |    0.96 |    0.77 | 60b481d |
|             AVX2 |          tiny |   4 |   0 |  566.25 |    1.85 |    0.96 |    0.77 | 60b481d |
|             AVX2 |       base.en |   4 |   0 | 1252.53 |    3.64 |    1.73 |    1.35 | 60b481d |
|             AVX2 |          base |   4 |   0 | 1238.17 |    3.61 |    1.74 |    1.35 | 60b481d |
|             AVX2 |      small.en |   4 |   0 | 4353.19 |   10.36 |    4.90 |    3.80 | 60b481d |
|             AVX2 |         small |   4 |   0 | 4387.00 |   10.37 |    4.89 |    3.80 | 60b481d |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.61 |   13.87 |   10.60 | 60b481d |
|             AVX2 |        medium |   4 |   0 |      ms |   29.22 |   13.85 |   10.66 | 60b481d |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   53.69 |   25.24 |   19.50 | 60b481d |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   53.76 |   25.20 |   19.46 | 60b481d |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.71 |   25.16 |   19.49 | 60b481d |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.54 |    4.36 |    3.42 | 60b481d |
