|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |  546.62 |    2.01 |    1.02 |    0.79 | 60b481d8 |
|             NEON |          tiny |   4 |   0 |  545.22 |    2.02 |    1.04 |    0.79 | 60b481d8 |
|             NEON |       base.en |   4 |   0 | 1224.35 |    4.20 |    1.91 |    1.38 | 60b481d8 |
|             NEON |          base |   4 |   0 | 1233.22 |    4.22 |    1.91 |    1.38 | 60b481d8 |
|             NEON |      small.en |   4 |   0 | 4374.93 |   12.04 |    5.44 |    3.78 | 60b481d8 |
|             NEON |         small |   4 |   0 | 4378.80 |   12.14 |    5.45 |    3.79 | 60b481d8 |
|             NEON |     medium.en |   4 |   0 |      ms |   33.48 |   14.51 |   10.62 | 60b481d8 |
|             NEON |        medium |   4 |   0 |      ms |   33.47 |   14.54 |   10.61 | 60b481d8 |
|             NEON |      large-v1 |   4 |   0 |      ms |   60.13 |   26.34 |   19.46 | 60b481d8 |
|             NEON |      large-v2 |   4 |   0 |      ms |   60.00 |   26.17 |   19.40 | 60b481d8 |
|             NEON |      large-v3 |   4 |   0 |      ms |   59.53 |   26.00 |   19.40 | 60b481d8 |
|             NEON | large-v3-turbo |   4 |   0 |      ms |   10.12 |    4.53 |    3.42 | 60b481d8 |
