|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.12 |    1.03 |    0.28 |    0.01 | 60b481d8 |
|             AVX2 |          tiny |   4 |   0 |    5.85 |    0.98 |    0.29 |    0.01 | 60b481d8 |
|             AVX2 |       base.en |   4 |   0 |   10.61 |    1.41 |    0.41 |    0.02 | 60b481d8 |
|             AVX2 |          base |   4 |   0 |   10.60 |    1.44 |    0.43 |    0.02 | 60b481d8 |
|             AVX2 |      small.en |   4 |   0 |   29.98 |    2.77 |    0.84 |    0.04 | 60b481d8 |
|             AVX2 |         small |   4 |   0 |   30.00 |    2.76 |    0.84 |    0.04 | 60b481d8 |
|             AVX2 |     medium.en |   4 |   0 |   81.40 |    5.91 |    1.78 |    0.09 | 60b481d8 |
|             AVX2 |        medium |   4 |   0 |   87.21 |    6.02 |    1.80 |    0.09 | 60b481d8 |
|             AVX2 |      large-v1 |   4 |   0 |  134.69 |    8.51 |    2.66 |    0.14 | 60b481d8 |
|             AVX2 |      large-v2 |   4 |   0 |  134.77 |    8.63 |    2.73 |    0.14 | 60b481d8 |
|             AVX2 |      large-v3 |   4 |   0 |  135.91 |    8.56 |    2.66 |    0.14 | 60b481d8 |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.50 |    1.38 |    0.44 |    0.02 | 60b481d8 |
