|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  441.21 |    1.25 |    0.72 |    0.60 | 60b481d |
|             AVX2 |          tiny |   4 |   0 |  440.61 |    1.28 |    0.73 |    0.60 | 60b481d |
|             AVX2 |       base.en |   4 |   0 |  965.32 |    2.96 |    1.42 |    1.05 | 60b481d |
|             AVX2 |          base |   4 |   0 |  970.86 |    3.04 |    1.42 |    1.05 | 60b481d |
|             AVX2 |      small.en |   4 |   0 | 3407.70 |   10.85 |    4.49 |    3.00 | 60b481d |
|             AVX2 |         small |   4 |   0 | 3414.78 |   10.95 |    4.50 |    2.99 | 60b481d |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.22 |   12.93 |    8.40 | 60b481d |
|             AVX2 |        medium |   4 |   0 |      ms |   32.27 |   12.92 |    8.39 | 60b481d |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.33 |   24.38 |   15.40 | 60b481d |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.33 |   24.41 |   15.41 | 60b481d |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   61.01 |   24.38 |   15.42 | 60b481d |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.07 |    4.10 |    2.76 | 60b481d |
