|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   33.92 |    1.32 |    0.38 |    0.03 | 663cafc |
|             NEON |          tiny |   4 |   0 |   34.06 |    1.34 |    0.38 |    0.03 | 663cafc |
|             NEON |       base.en |   4 |   0 |   69.43 |    2.12 |    0.48 |    0.06 | 663cafc |
|             NEON |          base |   4 |   0 |   69.41 |    2.13 |    0.47 |    0.06 | 663cafc |
|             NEON |      small.en |   4 |   0 |  227.00 |    5.53 |    1.14 |    0.18 | 663cafc |
|             NEON |         small |   4 |   0 |  226.93 |    5.50 |    1.19 |    0.18 | 663cafc |
|             NEON |     medium.en |   4 |   0 |  677.86 |   14.30 |    3.06 |    0.49 | 663cafc |
|             NEON |        medium |   4 |   0 |  679.47 |   14.34 |    3.06 |    0.49 | 663cafc |
|             NEON |      large-v1 |   4 |   0 | 1268.48 |   24.80 |    5.26 |    0.89 | 663cafc |
|             NEON |      large-v2 |   4 |   0 | 1267.72 |   24.77 |    5.22 |    0.89 | 663cafc |
|             NEON |      large-v3 |   4 |   0 | 1269.11 |   24.88 |    5.28 |    0.89 | 663cafc |
|             NEON | large-v3-turbo |   4 |   0 | 1161.28 |    4.53 |    0.95 |    0.15 | 663cafc |
