|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  546.88 |    1.85 |    0.95 |    0.74 | 663cafc |
|             AVX2 |          tiny |   4 |   0 |  547.02 |    1.83 |    0.94 |    0.74 | 663cafc |
|             AVX2 |       base.en |   4 |   0 | 1197.63 |    3.59 |    1.69 |    1.30 | 663cafc |
|             AVX2 |          base |   4 |   0 | 1210.15 |    3.67 |    1.72 |    1.31 | 663cafc |
|             AVX2 |      small.en |   4 |   0 | 4206.11 |   10.39 |    4.71 |    3.69 | 663cafc |
|             AVX2 |         small |   4 |   0 | 4229.16 |   10.33 |    4.68 |    3.68 | 663cafc |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.14 |   13.25 |   10.27 | 663cafc |
|             AVX2 |        medium |   4 |   0 |      ms |   29.16 |   13.33 |   10.26 | 663cafc |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   53.10 |   24.27 |   18.77 | 663cafc |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   53.13 |   24.28 |   18.76 | 663cafc |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.26 |   24.33 |   18.79 | 663cafc |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.51 |    4.25 |    3.33 | 663cafc |
