|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.14 |    1.05 |    0.28 |    0.01 | 663cafc1 |
|             AVX2 |          tiny |   4 |   0 |    5.83 |    0.99 |    0.30 |    0.01 | 663cafc1 |
|             AVX2 |       base.en |   4 |   0 |   10.61 |    1.45 |    0.41 |    0.02 | 663cafc1 |
|             AVX2 |          base |   4 |   0 |   10.64 |    1.41 |    0.42 |    0.02 | 663cafc1 |
|             AVX2 |      small.en |   4 |   0 |   30.02 |    2.77 |    0.84 |    0.04 | 663cafc1 |
|             AVX2 |         small |   4 |   0 |   29.98 |    2.76 |    0.84 |    0.04 | 663cafc1 |
|             AVX2 |     medium.en |   4 |   0 |   81.37 |    5.89 |    1.77 |    0.09 | 663cafc1 |
|             AVX2 |        medium |   4 |   0 |   81.34 |    6.01 |    1.80 |    0.09 | 663cafc1 |
|             AVX2 |      large-v1 |   4 |   0 |  134.73 |    8.67 |    2.70 |    0.14 | 663cafc1 |
|             AVX2 |      large-v2 |   4 |   0 |  134.88 |    8.64 |    2.72 |    0.14 | 663cafc1 |
|             AVX2 |      large-v3 |   4 |   0 |  135.01 |    8.57 |    2.67 |    0.14 | 663cafc1 |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.73 |    1.38 |    0.44 |    0.02 | 663cafc1 |
