|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  438.65 |    1.30 |    0.73 |    0.60 | 663cafc |
|             AVX2 |          tiny |   4 |   0 |  439.95 |    1.27 |    0.73 |    0.60 | 663cafc |
|             AVX2 |       base.en |   4 |   0 |  964.76 |    2.98 |    1.41 |    1.05 | 663cafc |
|             AVX2 |          base |   4 |   0 |  964.76 |    2.97 |    1.41 |    1.05 | 663cafc |
|             AVX2 |      small.en |   4 |   0 | 3402.79 |   10.95 |    4.48 |    2.98 | 663cafc |
|             AVX2 |         small |   4 |   0 | 3410.08 |   10.97 |    4.49 |    3.01 | 663cafc |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.17 |   12.89 |    8.37 | 663cafc |
|             AVX2 |        medium |   4 |   0 |      ms |   32.09 |   12.88 |    8.36 | 663cafc |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.23 |   24.42 |   15.40 | 663cafc |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   60.86 |   24.37 |   15.41 | 663cafc |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   61.11 |   24.37 |   15.40 | 663cafc |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.07 |    4.13 |    2.75 | 663cafc |
