|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   33.88 |    1.34 |    0.38 |    0.03 | 6e8242f |
|             NEON |          tiny |   4 |   0 |   33.86 |    1.32 |    0.37 |    0.03 | 6e8242f |
|             NEON |       base.en |   4 |   0 |   69.76 |    2.15 |    0.48 |    0.06 | 6e8242f |
|             NEON |          base |   4 |   0 |   69.31 |    2.15 |    0.48 |    0.06 | 6e8242f |
|             NEON |      small.en |   4 |   0 |  226.39 |    5.49 |    1.20 |    0.18 | 6e8242f |
|             NEON |         small |   4 |   0 |  227.79 |    5.36 |    1.21 |    0.18 | 6e8242f |
|             NEON |     medium.en |   4 |   0 |  676.43 |   14.27 |    3.03 |    0.49 | 6e8242f |
|             NEON |        medium |   4 |   0 |  676.79 |   14.22 |    3.05 |    0.49 | 6e8242f |
|             NEON |      large-v1 |   4 |   0 | 1271.18 |   24.73 |    5.23 |    0.89 | 6e8242f |
|             NEON |      large-v2 |   4 |   0 | 1265.77 |   24.77 |    5.25 |    0.89 | 6e8242f |
|             NEON |      large-v3 |   4 |   0 | 1277.48 |   24.76 |    5.26 |    0.89 | 6e8242f |
|             NEON | large-v3-turbo |   4 |   0 | 1162.70 |    4.51 |    0.95 |    0.15 | 6e8242f |
