|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  552.52 |    1.91 |    0.95 |    0.75 | 6e8242f |
|             AVX2 |          tiny |   4 |   0 |  553.58 |    1.81 |    0.96 |    0.75 | 6e8242f |
|             AVX2 |       base.en |   4 |   0 | 1202.77 |    3.61 |    1.72 |    1.32 | 6e8242f |
|             AVX2 |          base |   4 |   0 | 1199.06 |    3.55 |    1.69 |    1.31 | 6e8242f |
|             AVX2 |      small.en |   4 |   0 | 4237.07 |   10.27 |    4.75 |    3.67 | 6e8242f |
|             AVX2 |         small |   4 |   0 | 4227.03 |   10.35 |    4.71 |    3.71 | 6e8242f |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.16 |   13.35 |   10.28 | 6e8242f |
|             AVX2 |        medium |   4 |   0 |      ms |   29.04 |   13.34 |   10.29 | 6e8242f |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   53.17 |   24.34 |   19.06 | 6e8242f |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   52.94 |   24.32 |   18.81 | 6e8242f |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.37 |   24.23 |   18.77 | 6e8242f |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.43 |    4.25 |    3.31 | 6e8242f |
