|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |  546.89 |    2.07 |    1.04 |    0.79 | 6e8242f7 |
|             NEON |          tiny |   4 |   0 |  546.21 |    2.07 |    1.04 |    0.79 | 6e8242f7 |
|             NEON |       base.en |   4 |   0 | 1235.58 |    4.30 |    1.94 |    1.39 | 6e8242f7 |
|             NEON |          base |   4 |   0 | 1243.66 |    4.30 |    1.94 |    1.39 | 6e8242f7 |
|             NEON |      small.en |   4 |   0 | 4401.43 |   12.40 |    5.49 |    3.81 | 6e8242f7 |
|             NEON |         small |   4 |   0 | 4395.02 |   12.20 |    5.45 |    3.80 | 6e8242f7 |
|             NEON |     medium.en |   4 |   0 |      ms |   33.75 |   14.60 |   10.70 | 6e8242f7 |
|             NEON |        medium |   4 |   0 |      ms |   33.82 |   14.75 |   10.70 | 6e8242f7 |
|             NEON |      large-v1 |   4 |   0 |      ms |   60.38 |   26.30 |   19.61 | 6e8242f7 |
|             NEON |      large-v2 |   4 |   0 |      ms |   60.34 |   26.23 |   19.55 | 6e8242f7 |
|             NEON |      large-v3 |   4 |   0 |      ms |   60.53 |   26.25 |   19.59 | 6e8242f7 |
|             NEON | large-v3-turbo |   4 |   0 |      ms |   10.20 |    4.57 |    3.44 | 6e8242f7 |
