|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.14 |    1.04 |    0.29 |    0.01 | 6e8242f7 |
|             AVX2 |          tiny |   4 |   0 |    5.82 |    0.99 |    0.29 |    0.01 | 6e8242f7 |
|             AVX2 |       base.en |   4 |   0 |   10.65 |    1.44 |    0.42 |    0.02 | 6e8242f7 |
|             AVX2 |          base |   4 |   0 |   10.71 |    1.45 |    0.43 |    0.02 | 6e8242f7 |
|             AVX2 |      small.en |   4 |   0 |   30.48 |    2.81 |    0.84 |    0.04 | 6e8242f7 |
|             AVX2 |         small |   4 |   0 |   29.94 |    2.78 |    0.85 |    0.04 | 6e8242f7 |
|             AVX2 |     medium.en |   4 |   0 |   81.37 |    5.95 |    1.79 |    0.09 | 6e8242f7 |
|             AVX2 |        medium |   4 |   0 |   81.45 |    5.97 |    1.83 |    0.09 | 6e8242f7 |
|             AVX2 |      large-v1 |   4 |   0 |  134.70 |    8.63 |    2.68 |    0.14 | 6e8242f7 |
|             AVX2 |      large-v2 |   4 |   0 |  134.68 |    8.59 |    2.68 |    0.14 | 6e8242f7 |
|             AVX2 |      large-v3 |   4 |   0 |  135.08 |    8.67 |    2.69 |    0.14 | 6e8242f7 |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.42 |    1.38 |    0.44 |    0.02 | 6e8242f7 |
