|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  438.78 |    1.31 |    0.73 |    0.60 | 6e8242f |
|             AVX2 |          tiny |   4 |   0 |  442.81 |    1.30 |    0.74 |    0.59 | 6e8242f |
|             AVX2 |       base.en |   4 |   0 |  964.55 |    3.02 |    1.43 |    1.05 | 6e8242f |
|             AVX2 |          base |   4 |   0 |  966.43 |    2.97 |    1.40 |    1.05 | 6e8242f |
|             AVX2 |      small.en |   4 |   0 | 3398.99 |   10.94 |    4.49 |    2.99 | 6e8242f |
|             AVX2 |         small |   4 |   0 | 3408.95 |   10.91 |    4.48 |    2.98 | 6e8242f |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.24 |   12.93 |    8.36 | 6e8242f |
|             AVX2 |        medium |   4 |   0 |      ms |   32.23 |   12.90 |    8.37 | 6e8242f |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.34 |   24.39 |   15.39 | 6e8242f |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.11 |   24.36 |   15.41 | 6e8242f |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   61.05 |   24.33 |   15.39 | 6e8242f |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.05 |    4.11 |    2.75 | 6e8242f |
