|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   33.97 |    1.31 |    0.38 |    0.03 | 740bf7f |
|             NEON |          tiny |   4 |   0 |   34.29 |    1.32 |    0.38 |    0.03 | 740bf7f |
|             NEON |       base.en |   4 |   0 |   69.67 |    2.13 |    0.48 |    0.06 | 740bf7f |
|             NEON |          base |   4 |   0 |   69.37 |    2.12 |    0.48 |    0.06 | 740bf7f |
|             NEON |      small.en |   4 |   0 |  226.65 |    5.53 |    1.19 |    0.18 | 740bf7f |
|             NEON |         small |   4 |   0 |  226.72 |    5.51 |    1.20 |    0.18 | 740bf7f |
|             NEON |     medium.en |   4 |   0 |  677.23 |   14.34 |    3.05 |    0.49 | 740bf7f |
|             NEON |        medium |   4 |   0 |  682.90 |   14.29 |    3.07 |    0.49 | 740bf7f |
|             NEON |      large-v1 |   4 |   0 | 1267.27 |   24.81 |    5.24 |    0.89 | 740bf7f |
|             NEON |      large-v2 |   4 |   0 | 1266.33 |   25.81 |    5.26 |    0.89 | 740bf7f |
|             NEON |      large-v3 |   4 |   0 | 1268.60 |   24.88 |    5.25 |    0.89 | 740bf7f |
|             NEON | large-v3-turbo |   4 |   0 | 1160.68 |    4.48 |    0.97 |    0.15 | 740bf7f |
