|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  565.57 |    1.82 |    0.98 |    0.76 | 740bf7f |
|             AVX2 |          tiny |   4 |   0 |  559.94 |    1.88 |    0.95 |    0.76 | 740bf7f |
|             AVX2 |       base.en |   4 |   0 | 1227.60 |    3.60 |    1.71 |    1.34 | 740bf7f |
|             AVX2 |          base |   4 |   0 | 1247.61 |    3.61 |    1.74 |    1.35 | 740bf7f |
|             AVX2 |      small.en |   4 |   0 | 4333.60 |   10.31 |    4.84 |    3.82 | 740bf7f |
|             AVX2 |         small |   4 |   0 | 4342.33 |   10.37 |    4.83 |    3.81 | 740bf7f |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.23 |   13.79 |   10.60 | 740bf7f |
|             AVX2 |        medium |   4 |   0 |      ms |   29.49 |   13.73 |   10.61 | 740bf7f |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   53.65 |   25.01 |   19.48 | 740bf7f |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   53.58 |   25.04 |   19.40 | 740bf7f |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.59 |   25.29 |   19.47 | 740bf7f |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.51 |    4.34 |    3.44 | 740bf7f |
