|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |  545.77 |    2.02 |    1.03 |    0.79 | 740bf7f6 |
|             NEON |          tiny |   4 |   0 |  543.99 |    2.01 |    1.03 |    0.79 | 740bf7f6 |
|             NEON |       base.en |   4 |   0 | 1231.63 |    4.27 |    1.92 |    1.38 | 740bf7f6 |
|             NEON |          base |   4 |   0 | 1228.85 |    4.20 |    1.93 |    1.38 | 740bf7f6 |
|             NEON |      small.en |   4 |   0 | 4375.83 |   12.08 |    5.42 |    3.78 | 740bf7f6 |
|             NEON |         small |   4 |   0 | 4376.17 |   12.11 |    5.45 |    3.78 | 740bf7f6 |
|             NEON |     medium.en |   4 |   0 |      ms |   33.42 |   14.46 |   10.61 | 740bf7f6 |
|             NEON |        medium |   4 |   0 |      ms |   33.86 |   14.72 |   10.63 | 740bf7f6 |
|             NEON |      large-v1 |   4 |   0 |      ms |   59.93 |   26.24 |   19.40 | 740bf7f6 |
|             NEON |      large-v2 |   4 |   0 |      ms |   60.01 |   26.27 |   19.40 | 740bf7f6 |
|             NEON |      large-v3 |   4 |   0 |      ms |   58.77 |   25.81 |   19.33 | 740bf7f6 |
|             NEON | large-v3-turbo |   4 |   0 |      ms |   10.01 |    4.52 |    3.42 | 740bf7f6 |
