|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.37 |    1.02 |    0.28 |    0.01 | 740bf7f6 |
|             AVX2 |          tiny |   4 |   0 |    5.82 |    1.02 |    0.29 |    0.01 | 740bf7f6 |
|             AVX2 |       base.en |   4 |   0 |   10.60 |    1.42 |    0.41 |    0.02 | 740bf7f6 |
|             AVX2 |          base |   4 |   0 |   10.62 |    1.45 |    0.42 |    0.02 | 740bf7f6 |
|             AVX2 |      small.en |   4 |   0 |   29.99 |    2.78 |    0.82 |    0.04 | 740bf7f6 |
|             AVX2 |         small |   4 |   0 |   30.03 |    2.89 |    0.85 |    0.04 | 740bf7f6 |
|             AVX2 |     medium.en |   4 |   0 |   81.40 |    5.90 |    1.77 |    0.09 | 740bf7f6 |
|             AVX2 |        medium |   4 |   0 |   81.54 |    5.93 |    1.79 |    0.09 | 740bf7f6 |
|             AVX2 |      large-v1 |   4 |   0 |  134.64 |    8.63 |    2.72 |    0.14 | 740bf7f6 |
|             AVX2 |      large-v2 |   4 |   0 |  134.72 |    8.64 |    2.68 |    0.14 | 740bf7f6 |
|             AVX2 |      large-v3 |   4 |   0 |  134.92 |    9.62 |    2.67 |    0.14 | 740bf7f6 |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.39 |    1.39 |    0.44 |    0.02 | 740bf7f6 |
