|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  440.51 |    1.35 |    0.74 |    0.60 | 740bf7f |
|             AVX2 |          tiny |   4 |   0 |  440.60 |    1.23 |    0.73 |    0.60 | 740bf7f |
|             AVX2 |       base.en |   4 |   0 |  969.40 |    2.99 |    1.43 |    1.05 | 740bf7f |
|             AVX2 |          base |   4 |   0 |  965.15 |    3.04 |    1.41 |    1.05 | 740bf7f |
|             AVX2 |      small.en |   4 |   0 | 3405.40 |   10.94 |    4.48 |    2.99 | 740bf7f |
|             AVX2 |         small |   4 |   0 | 3415.02 |   10.95 |    4.50 |    2.99 | 740bf7f |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.21 |   12.90 |    8.38 | 740bf7f |
|             AVX2 |        medium |   4 |   0 |      ms |   32.29 |   12.93 |    8.37 | 740bf7f |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.25 |   24.41 |   15.41 | 740bf7f |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.26 |   24.38 |   15.41 | 740bf7f |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   61.18 |   24.40 |   15.41 | 740bf7f |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.09 |    4.13 |    2.75 | 740bf7f |
