|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   33.94 |    1.31 |    0.38 |    0.03 | 7e23d8c |
|             NEON |          tiny |   4 |   0 |   34.09 |    1.32 |    0.38 |    0.03 | 7e23d8c |
|             NEON |       base.en |   4 |   0 |   69.41 |    2.17 |    0.48 |    0.06 | 7e23d8c |
|             NEON |          base |   4 |   0 |   69.38 |    2.14 |    0.49 |    0.06 | 7e23d8c |
|             NEON |      small.en |   4 |   0 |  226.94 |    5.50 |    1.19 |    0.18 | 7e23d8c |
|             NEON |         small |   4 |   0 |  226.61 |    5.40 |    1.17 |    0.18 | 7e23d8c |
|             NEON |     medium.en |   4 |   0 |  675.94 |   14.32 |    3.04 |    0.49 | 7e23d8c |
|             NEON |        medium |   4 |   0 |  681.45 |   14.29 |    3.07 |    0.49 | 7e23d8c |
|             NEON |      large-v1 |   4 |   0 | 1265.28 |   24.75 |    5.23 |    0.89 | 7e23d8c |
|             NEON |      large-v2 |   4 |   0 | 1266.00 |   24.78 |    5.26 |    0.89 | 7e23d8c |
|             NEON |      large-v3 |   4 |   0 | 1268.70 |   24.79 |    5.23 |    0.89 | 7e23d8c |
|             NEON | large-v3-turbo |   4 |   0 | 1159.32 |    4.51 |    0.94 |    0.15 | 7e23d8c |
