|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  573.70 |    2.05 |    1.02 |    0.79 | 7e23d8c |
|             AVX2 |          tiny |   4 |   0 |  575.45 |    2.02 |    1.01 |    0.79 | 7e23d8c |
|             AVX2 |       base.en |   4 |   0 | 1271.33 |    3.91 |    1.81 |    1.38 | 7e23d8c |
|             AVX2 |          base |   4 |   0 | 1267.03 |    3.73 |    1.75 |    1.38 | 7e23d8c |
|             AVX2 |      small.en |   4 |   0 | 4440.06 |   10.78 |    5.06 |    3.90 | 7e23d8c |
|             AVX2 |         small |   4 |   0 | 4444.93 |   10.73 |    5.06 |    3.88 | 7e23d8c |
|             AVX2 |     medium.en |   4 |   0 |      ms |   30.36 |   14.27 |   10.85 | 7e23d8c |
|             AVX2 |        medium |   4 |   0 |      ms |   30.15 |   14.23 |   10.86 | 7e23d8c |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   55.11 |   25.88 |   19.94 | 7e23d8c |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   55.28 |   25.95 |   19.93 | 7e23d8c |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   54.97 |   25.88 |   19.95 | 7e23d8c |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.90 |    4.45 |    3.52 | 7e23d8c |
