|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |  546.23 |    2.03 |    1.03 |    0.79 | 7e23d8c6 |
|             NEON |          tiny |   4 |   0 |  548.93 |    2.06 |    1.04 |    0.79 | 7e23d8c6 |
|             NEON |       base.en |   4 |   0 | 1229.72 |    4.21 |    1.92 |    1.38 | 7e23d8c6 |
|             NEON |          base |   4 |   0 | 1225.35 |    4.28 |    1.93 |    1.38 | 7e23d8c6 |
|             NEON |      small.en |   4 |   0 | 4378.89 |   12.23 |    5.42 |    3.79 | 7e23d8c6 |
|             NEON |         small |   4 |   0 | 4372.68 |   11.98 |    5.44 |    3.78 | 7e23d8c6 |
|             NEON |     medium.en |   4 |   0 |      ms |   33.33 |   14.48 |   10.61 | 7e23d8c6 |
|             NEON |        medium |   4 |   0 |      ms |   33.58 |   14.67 |   10.63 | 7e23d8c6 |
|             NEON |      large-v1 |   4 |   0 |      ms |   59.67 |   26.18 |   19.40 | 7e23d8c6 |
|             NEON |      large-v2 |   4 |   0 |      ms |   59.39 |   26.08 |   19.41 | 7e23d8c6 |
|             NEON |      large-v3 |   4 |   0 |      ms |   58.83 |   25.88 |   19.36 | 7e23d8c6 |
|             NEON | large-v3-turbo |   4 |   0 |      ms |    9.90 |    4.49 |    3.41 | 7e23d8c6 |
