|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.16 |    1.02 |    0.28 |    0.01 | 7e23d8c6 |
|             AVX2 |          tiny |   4 |   0 |    5.80 |    1.00 |    0.33 |    0.01 | 7e23d8c6 |
|             AVX2 |       base.en |   4 |   0 |   10.64 |    1.42 |    0.41 |    0.02 | 7e23d8c6 |
|             AVX2 |          base |   4 |   0 |   10.58 |    1.42 |    0.43 |    0.02 | 7e23d8c6 |
|             AVX2 |      small.en |   4 |   0 |   29.97 |    2.81 |    0.83 |    0.04 | 7e23d8c6 |
|             AVX2 |         small |   4 |   0 |   29.99 |    2.78 |    0.88 |    0.04 | 7e23d8c6 |
|             AVX2 |     medium.en |   4 |   0 |   81.47 |    5.91 |    1.81 |    0.09 | 7e23d8c6 |
|             AVX2 |        medium |   4 |   0 |   81.47 |    5.97 |    1.80 |    0.09 | 7e23d8c6 |
|             AVX2 |      large-v1 |   4 |   0 |  134.73 |    8.55 |    2.67 |    0.14 | 7e23d8c6 |
|             AVX2 |      large-v2 |   4 |   0 |  134.68 |    8.57 |    2.70 |    0.14 | 7e23d8c6 |
|             AVX2 |      large-v3 |   4 |   0 |  134.98 |    8.60 |    2.66 |    0.14 | 7e23d8c6 |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.44 |    1.37 |    0.44 |    0.02 | 7e23d8c6 |
