|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  440.96 |    1.24 |    0.72 |    0.60 | 7e23d8c |
|             AVX2 |          tiny |   4 |   0 |  440.45 |    1.24 |    0.72 |    0.60 | 7e23d8c |
|             AVX2 |       base.en |   4 |   0 |  965.94 |    2.92 |    1.42 |    1.05 | 7e23d8c |
|             AVX2 |          base |   4 |   0 |  967.44 |    3.06 |    1.43 |    1.06 | 7e23d8c |
|             AVX2 |      small.en |   4 |   0 | 3400.44 |   10.98 |    4.50 |    2.99 | 7e23d8c |
|             AVX2 |         small |   4 |   0 | 3415.51 |   10.89 |    4.48 |    2.99 | 7e23d8c |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.22 |   12.88 |    8.36 | 7e23d8c |
|             AVX2 |        medium |   4 |   0 |      ms |   32.45 |   12.93 |    8.38 | 7e23d8c |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.16 |   24.41 |   15.41 | 7e23d8c |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.32 |   24.46 |   15.40 | 7e23d8c |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   61.14 |   24.39 |   15.41 | 7e23d8c |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.02 |    4.11 |    2.75 | 7e23d8c |
